Review phase,Page,Primary audience,Assumed state,Formal action,Personal-risk context,Test fit,Variant,Urgency modifier,Block size,Alternative primary CTA,Confidence,Reviewed,Notes
2.5 Creditor pressure,/insolvency/preferential-non-preferential-creditors/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
2.5 Creditor pressure,/insolvency/secured-vs-unsecured-creditors/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
2.5 Creditor pressure,/insolvency/what-is-a-creditor/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
2.5 Creditor pressure,/liquidation/can-a-director-be-sued-personally-by-creditors/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
2.5 Creditor pressure,/liquidation/can-a-supplier-force-my-company-into-liquidation/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
2.5 Creditor pressure,/liquidation/creditor-meetings-in-liquidation/,Mixed,Already in process,None,No,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.5 Creditor pressure,/liquidation/what-happens-if-a-creditor-takes-me-to-court/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
2.5 Creditor pressure,/liquidation/which-creditors-get-paid-first/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
2.6 Liquidation consequences,/liquidation/business-bank-account-in-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.6 Liquidation consequences,/liquidation/company-property-and-real-estate-in-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.6 Liquidation consequences,/liquidation/company-restoration-after-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.6 Liquidation consequences,/liquidation/company-vehicles-and-equipment-in-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.6 Liquidation consequences,/liquidation/intellectual-property-and-trading-assets-in-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.6 Liquidation consequences,/liquidation/leases-and-contracts-in-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.6 Liquidation consequences,/liquidation/what-happens-to-directors-in-liquidation/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
2.6 Liquidation consequences,/liquidation/what-happens-to-employees/,Employee,Already in process,None,No,None,none,none,None,Employee guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is an employee rather than a director assessing their own company, so the company test is not suitable."
3 Long tail,/advantages-and-disadvantages/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
3 Long tail,/advice/,Director,Uncertain,None,No,Secondary,early_check,none,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page is broader or more informational; use the test as a compact secondary check rather than the main action.
3 Long tail,/advice/are-directors-personally-liable-for-company-debts/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/advice/can-a-director-be-made-bankrupt-if-a-business-fails/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/advice/can-director-criminal-record/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/advice/can-personal-assets-of-directors-be-seized-from-a-ltd-company/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/advice/debt-management-guide/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/advice/frozen-bank-account/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
3 Long tail,/advice/funding-options-for-smes-in-the-uk/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/advice/get-free-business-debt-advice/,Director,Uncertain,None,No,Secondary,early_check,none,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page is broader or more informational; use the test as a compact secondary check rather than the main action.
3 Long tail,/advice/how-to-legally-take-money-out-of-a-limited-company/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/advice/insolvency-advice-for-directors/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/advice/losing-house-if-company-goes-bust/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/advice/preventing-company-director-disputes/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/advice/what-are-a-company-directors-duties-to-avoid-and-disclose-conflicts-of-interest/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/advice/what-are-fixed-and-floating-charges/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/advice/what-are-phoenix-companies/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/advice/what-are-the-duties-and-responsibilities-of-a-company-director/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/advice/what-is-a-directors-responsibility-for-accountancy-errors/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/advice/what-is-limited-liability/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/advice/what-is-the-companies-act-2006/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/bounce-back-loan-support-hub/bounce-back-loan-fraud/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/bounce-back-loan-support-hub/can-i-lose-my-house-with-a-bounce-back-loan/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/bounce-back-loan-support-hub/directors-liability-for-bounce-back-loans/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/bounce-back-loan-support-hub/dissolving-a-company-with-bounce-back-loan/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/bounce-back-loan-support-hub/what-happens-if-i-default/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/care-home-insolvency/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/charity-non-profit-insolvency/,Mixed,Serious distress,None,No,Secondary,serious_position,none,Compact,Specialist advice,Medium,ChatGPT — 6 Aug 2026,"The test can help establish financial severity, but specialist sector or procedure advice should remain the main action."
3 Long tail,/closing-a-limited-company/,Director,Solvent,None,No,None,none,none,None,Solvent closure,Medium,ChatGPT — 6 Aug 2026,Solvent or mixed solvent-closure intent; the current test lacks a clearly solvent answer and should not be used here.
3 Long tail,/construction-insolvency/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/director-redundancy/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
3 Long tail,/energy-provider-insolvency/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/hospitality-restaurant-insolvency/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/insolvency/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/insolvency/antecedent-transactions/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/insolvency/business-recovery-services/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/insolvency/can-we-trade-out-of-insolvency/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/insolvency/can-you-sell-your-insolvent-company/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/insolvency/check-if-a-company-is-insolvent/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/insolvency/find-a-liquidator-near-me/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
3 Long tail,/insolvency/how-to-reduce-insolvency-risk/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/insolvency/how-to-save-a-struggling-business/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/insolvency/insolvency-act-1986/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/insolvency/insolvent-company-investigations/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/insolvency/insolvent-company-owes-me-money/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
3 Long tail,/insolvency/limited-company-bankruptcy/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/insolvency/lpa-receivership/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
3 Long tail,/insolvency/personally-liabilty-of-company-secretary/,Mixed,Uncertain,None,Yes,None,none,none,None,Personal-liability guidance,High,ChatGPT — 6 Aug 2026,The audience is mixed and the page’s main task is not to assess the reader’s own company; use a page-specific route instead.
3 Long tail,/insolvency/preferential-payments-during-insolvency/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/insolvency/retail-industry-insolvency-trends/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/insolvency/shareholders-liable-company-debts/,Mixed,Uncertain,None,Yes,None,none,none,None,Personal-liability guidance,High,ChatGPT — 6 Aug 2026,The audience is mixed and the page’s main task is not to assess the reader’s own company; use a page-specific route instead.
3 Long tail,/insolvency/statement-of-affairs/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/insolvency/stop-or-avoid-insolvency/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/insolvency/transactions-at-undervalue/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/insolvency/validation-order/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
3 Long tail,/insolvency/what-happens-if-a-company-cannot-pay-its-debts/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/insolvency/what-is-a-freezing-order-or-injunction/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
3 Long tail,/insolvency/what-is-an-individual-voluntary-arrangement/,Mixed,Uncertain,None,No,None,none,none,None,Personal debt guidance,High,ChatGPT — 6 Aug 2026,"The procedure is for a partnership, LLP or individual rather than a limited company, so the company test is not suitable."
3 Long tail,/insolvency/what-is-an-insolvency-practitioner/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/insolvency/what-is-the-insolvency-service/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/insolvency/what-to-do-about-customer-insolvency/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
3 Long tail,/liquidation/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/liquidation/alternatives-to-company-liquidation/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/liquidation/am-i-solvent/,Director,Solvent,None,No,None,none,none,None,Solvent closure,Medium,ChatGPT — 6 Aug 2026,Solvent or mixed solvent-closure intent; the current test lacks a clearly solvent answer and should not be used here.
3 Long tail,/liquidation/can-directors-go-to-prison-for-company-debt/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/liquidation/can-directors-pay-themselves-before-liquidation/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/liquidation/can-i-choose-my-liquidator/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
3 Long tail,/liquidation/can-i-start-a-new-company-after-liquidating-my-old-one/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/liquidation/company-pensions-and-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/liquidation/company-strike-off-and-dissolution/,Director,Solvent,None,No,None,none,none,None,Solvent closure,Medium,ChatGPT — 6 Aug 2026,Solvent or mixed solvent-closure intent; the current test lacks a clearly solvent answer and should not be used here.
3 Long tail,/liquidation/company-strike-off-and-dissolution/can-i-be-sued-after-my-company-is-dissolved/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/liquidation/directors-conduct-report-2/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/liquidation/how-much-does-liquidation-cost/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
3 Long tail,/liquidation/how-to-challenge-a-liquidators-decisions-or-fees/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
3 Long tail,/liquidation/how-to-choose-the-right-insolvency-procedure/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/liquidation/how-to-prepare-for-company-liquidation/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/liquidation/how-to-prove-your-debt-in-company-liquidation/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
3 Long tail,/liquidation/insolvency-checklist/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/liquidation/insolvency-myths-debunked/,Director,Uncertain,None,No,Secondary,early_check,none,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page is broader or more informational; use the test as a compact secondary check rather than the main action.
3 Long tail,/liquidation/insolvency-vs-bankruptcy/,Director,Uncertain,None,No,Secondary,early_check,none,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page is broader or more informational; use the test as a compact secondary check rather than the main action.
3 Long tail,/liquidation/liquidating-a-charity-or-non-profit/,Mixed,Serious distress,None,No,Secondary,serious_position,none,Compact,Specialist advice,Medium,ChatGPT — 6 Aug 2026,"The test can help establish financial severity, but specialist sector or procedure advice should remain the main action."
3 Long tail,/liquidation/liquidating-a-company-with-no-assets-or-bank-account-uk/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/liquidation/liquidating-a-group-company-or-holding-company-in-the-uk/,Mixed,Serious distress,None,No,Secondary,serious_position,none,Compact,Specialist advice,Medium,ChatGPT — 6 Aug 2026,"The test can help establish financial severity, but specialist sector or procedure advice should remain the main action."
3 Long tail,/liquidation/liquidating-a-limited-liability-partnership/,Mixed,Serious distress,None,No,None,none,none,None,Partnership advice,High,ChatGPT — 6 Aug 2026,"The procedure is for a partnership, LLP or individual rather than a limited company, so the company test is not suitable."
3 Long tail,/liquidation/liquidation-deadlines-and-time-limits/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
3 Long tail,/liquidation/liquidation-hub/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/liquidation/liquidation-vs-dissolution-strike-off/,Director,Solvent,None,No,None,none,none,None,Closure options,High,ChatGPT — 6 Aug 2026,The page mixes solvent and insolvent closure intent; use a closure-specific route until the test can identify a comfortably solvent company.
3 Long tail,/liquidation/liquidators-powers-and-duties/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/liquidation/list-of-liquidation-documents/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/liquidation/members-voluntary-liquidation/,Director,Solvent,None,No,None,none,none,None,Solvent closure,High,ChatGPT — 6 Aug 2026,Solvent or mixed solvent-closure intent; the current test lacks a clearly solvent answer and should not be used here.
3 Long tail,/liquidation/redundancy-payments-for-directors-in-an-mvl/,Director,Solvent,None,No,None,none,none,None,Solvent closure,High,ChatGPT — 6 Aug 2026,Solvent or mixed solvent-closure intent; the current test lacks a clearly solvent answer and should not be used here.
3 Long tail,/liquidation/seek-insolvency-advice-before-missing-payments/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/liquidation/should-i-close-my-company-or-try-to-save-it/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/liquidation/timeline/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
3 Long tail,/liquidation/uk-insolvency-flowchart/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/liquidation/uk-insolvency-glossary/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
3 Long tail,/liquidation/what-happens-after-company-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/liquidation/what-happens-if-a-director-hides-company-assets/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
3 Long tail,/liquidation/what-happens-if-a-director-resigns-before-liquidation/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/liquidation/what-happens-if-a-director-transfers-assets-before-insolvency/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
3 Long tail,/liquidation/what-happens-if-i-stop-paying-company-debts/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
3 Long tail,/manufacturing-insolvency/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
3 Long tail,/professional-services-insolvency/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
