severity,file,term,first_use_char_offset,occurrences,gloss_anywhere_on_page,first_use_in_table_or_callout,first_use_in_faq,term_load_bearing_for_page,first_use_context
MEDIUM,20380_making-employees-redundant-cva.html,preference (unlawful),12276,2,no,no,no,no,", if you paid other creditors ahead of preferential wage claims in a way that constitutes a preference under the Insolvency Act 1986 (s.239), or if you failed to cooperate with the RPS or the liquidat"
MEDIUM,20380_making-employees-redundant-cva.html,preferential debt / creditor,6186,6,no,no,no,no,", those amounts become a debt owed back to the Redundancy Payments Service. They sit as a preferential debt in your CVA, ahead of most unsecured creditors. One point directors frequently misread: the "
MEDIUM,20428_vs-liquidation.html,CVA,55,115,yes,no,no,no,"If your trading is viable in the next twelve months, a CVA wins. If it is not, liquidation is cleaner. The question directors almost always get wrong is which side of t"
MEDIUM,20428_vs-liquidation.html,CVL,562,34,yes,no,no,yes,"and binds you to repayments for three to five years; a creditors’ voluntary liquidation (CVL) closes the company, realises its assets, and ends director uncertainty, sometimes within twelve months. W"
MEDIUM,20428_vs-liquidation.html,floating charge,9432,3,no,no,no,no,itors are not bound unless they separately consent. This matters if your company has a floating charge holder: their security survives the CVA and they can enforce it if the CVA subsequently fails. Th
MEDIUM,20681_can-director-criminal-record.html,preference (unlawful),4911,2,no,no,no,no,offence (unless the filing failure is part of a wider pattern of record destruction). Preference payments. Civil recovery under section 239. The transaction is reversed. No criminal record for the pre
MEDIUM,20681_can-director-criminal-record.html,wrongful trading,1610,5,yes,no,no,yes,"n order CDDA 1986, section 13 2 years You cannot get a criminal record for wrongful trading (section 214, civil only), misfeasance (section 212, civil only), being a director of a company that enters "
MEDIUM,21122_shareholders-liable-company-debts.html,preference (unlawful),15200,1,yes,yes,no,no,Assets moved to a connected party before failure Possible transaction at undervalue or preference The liquidator can challenge and unwind it Depends on the facts and your role Two points are w
MEDIUM,22277_insolvent-company-owes-me-money.html,Schedule 6,2323,2,no,no,no,no,"an Insolvent Company Your recovery is not set by how loudly you chase. It is set by Schedule 6 of the Insolvency Act 1986, which ranks creditors in a fixed waterfall. Secured creditors with a fixed c"
MEDIUM,22277_insolvent-company-owes-me-money.html,floating charge,3108,6,no,no,no,no,"Only after those tiers are paid does the prescribed part come into play: a carve-out from floating charge realisations for unsecured creditors, capped at £800,000 on floating charges created on or aft"
MEDIUM,22277_insolvent-company-owes-me-money.html,misfeasance,7190,2,no,no,no,no,"der section 239 Insolvency Act 1986; transactions at undervalue under section 238; and misfeasance under section 212. If the IP brings a claim against the directors and wins, the proceeds flow into th"
MEDIUM,22277_insolvent-company-owes-me-money.html,officeholder / office-holder,3949,3,no,no,no,no,"im. It is governed by rule 14.3 of the Insolvency (England and Wales) Rules 2016, and the office-holder will either post you a blank form or direct you to an online portal. Do not wait for a reminder."
MEDIUM,22277_insolvent-company-owes-me-money.html,preference (unlawful),7086,4,no,no,no,no,lance is a debt to the company); unlawful dividends under section 830 Companies Act 2006; preferences under section 239 Insolvency Act 1986; transactions at undervalue under section 238; and misfeasan
MEDIUM,22277_insolvent-company-owes-me-money.html,statutory demand,1647,2,yes,no,no,no,"rs stall a £40,000 invoice for six months by implying insolvency, then pay in full once a statutory demand above the £750 threshold landed at the registered office. The difference between a slow payer"
MEDIUM,22277_insolvent-company-owes-me-money.html,transaction at an undervalue,7140,2,no,no,no,no,der section 830 Companies Act 2006; preferences under section 239 Insolvency Act 1986; transactions at undervalue under section 238; and misfeasance under section 212. If the IP brings a claim against
MEDIUM,23698_how-much-does-liquidation-cost.html,transaction at an undervalue,10409,2,yes,yes,no,no,"ll. It will be found regardless. Disputed transactions Where possible preferences or transactions at undervalue are identified, the investigation lengthens and the conduct report becomes more detailed"
MEDIUM,24080_can-we-trade-out-of-insolvency.html,Schedule B1,7714,2,no,no,no,no,"r"". Directors remain in control while a rescue plan is developed. Administration (Schedule B1 Insolvency Act 1986). An administrator takes over the company with statutory purposes: rescue the company,"
MEDIUM,24080_can-we-trade-out-of-insolvency.html,moratorium,7472,6,no,no,no,no,"s voting to approve. You stay in day-to-day control. See our CVA guide . Part A1 Moratorium (inserted by CIGA 2020). A standalone 20-business-day moratorium from creditor enforcement, extendable, over"
MEDIUM,24080_can-we-trade-out-of-insolvency.html,preference (unlawful),9232,2,no,no,no,no,"ion the family cannot really afford, you do not have a case for trading through. You have a preference for doing so. The Supreme Court test in Sequana is about probabilities, not preferences. Our page"
MEDIUM,24402_what-are-the-duties-and-responsibilities-of-a-company-director.html,wrongful trading,1563,3,yes,no,no,yes,you must act in the interests of creditors. This is the duty shift that underpins every wrongful trading claim and every conduct investigation . Director Duty 1: Act Within Your Powers (Section 171)
MEDIUM,24434_what-is-a-freezing-order-or-injunction.html,moratorium,9112,2,no,no,no,no,"ompanies Court. If the company is placed into administration or liquidation , the moratorium does not automatically discharge the freezing order against the company. The appointed IP usually applies t"
MEDIUM,24434_what-is-a-freezing-order-or-injunction.html,preference (unlawful),4632,2,no,no,no,no,"Paying an old creditor who shouts loudest is not the ""ordinary course of business""; it is a preference and a contempt. Wrongful trading exposure , if the company was already near the line on the insol"
MEDIUM,24434_what-is-a-freezing-order-or-injunction.html,wrongful trading,4669,2,no,no,no,no,"dest is not the ""ordinary course of business""; it is a preference and a contempt. Wrongful trading exposure , if the company was already near the line on the insolvency test , a freezing order often t"
MEDIUM,24760_what-are-fixed-and-floating-charges.html,IP (insolvency practitioner),1100,2,yes,yes,no,no,"loating Charge What it covers A specific, identified asset (property, machinery, IP) A class of assets that changes (stock, debtors, cash) Company's freedom Cannot sell or dispose of the"
MEDIUM,24760_what-are-fixed-and-floating-charges.html,Schedule B1,6531,2,no,no,no,no,"tors. 2. A qualifying floating charge holder can appoint an administrator. Under Schedule B1 of the Insolvency Act, a lender holding a qualifying floating charge (one created after 15 September 2003 t"
MEDIUM,24760_what-are-fixed-and-floating-charges.html,floating charge,63,33,yes,no,no,yes,A fixed charge gives a lender a claim over a specific asset. A floating charge gives them a claim over a class of assets that can change. The distinction determines who gets paid fi
MEDIUM,24760_what-are-fixed-and-floating-charges.html,preferential debt / creditor,782,8,yes,no,no,no,lder ranks first in the creditor priority order . The floating charge holder ranks after preferential creditors and the prescribed part. That difference can mean the bank recovers everything while uns
MEDIUM,24780_personal-guarantee-insurance.html,misfeasance,3321,2,no,no,no,no,"cause you stopped paying premiums), you are not covered. Wrongful trading orders and misfeasance claims. PGI covers personal guarantee calls. It does not cover other personal liabilities arising from "
MEDIUM,24780_personal-guarantee-insurance.html,wrongful trading,3292,2,no,no,no,no,"ter the policy has lapsed (because you stopped paying premiums), you are not covered. Wrongful trading orders and misfeasance claims. PGI covers personal guarantee calls. It does not cover other perso"
MEDIUM,25310_validation-order.html,disposition,474,7,yes,no,no,yes,"From the moment the petition is presented, and certainly once it has been advertised, any disposition of company property is void unless the court orders otherwise. The bank has frozen the account to "
MEDIUM,26139_company-cash-flow-problems.html,advertised / advertisement (notice sense),4389,4,no,no,no,no,"aid for 21 days creates a presumption of insolvency. Winding-up petition , once advertised in The Gazette, company bank accounts freeze under section 127 of the Insolvency Act 1986. Compulsor"
MEDIUM,26139_company-cash-flow-problems.html,the Gazette,4403,2,no,no,no,no,"s creates a presumption of insolvency. Winding-up petition , once advertised in The Gazette, company bank accounts freeze under section 127 of the Insolvency Act 1986. Compulsory liquidation"
MEDIUM,26218_business-debt-advice.html,distraint / distrain,1086,1,yes,no,no,no,to Pay arrangement with HMRC is considerably easier to negotiate before HMRC has issued a distraint notice than after. A Company Voluntary Arrangement is available when a business has viable trading p
MEDIUM,26218_business-debt-advice.html,preference (unlawful),4702,2,no,no,no,no,ready will help your case significantly. HMRC's position on TTP hardened after Crown preference was reinstated in December 2020 under the Finance Act 2020. HMRC now ranks above ordinary unsecured cred
MEDIUM,26218_business-debt-advice.html,statutory demand,456,4,yes,no,no,no,"ad a full range of choices. Directors who rang in October, after three more letters and a statutory demand, had one or two at best. The good news is that free, regulated business debt advice genuinely"
MEDIUM,26218_business-debt-advice.html,wrongful trading,11452,2,no,no,no,no,"arantees you have signed, an overdrawn director's loan account, and conduct that triggers wrongful trading under s.214 of the Insolvency Act 1986 can all create personal exposure. A licensed insolvenc"
MEDIUM,26279_cease-trading.html,IP (insolvency practitioner),8981,3,yes,yes,no,no,"ent, quiet, three months no trading, no creditor pressure Speed and informality kept; no IP oversight Objections from HMRC or creditors restore the company; conduct still reviewable Dissolving with"
MEDIUM,26279_cease-trading.html,MVL,9316,3,yes,yes,no,no,ities accumulate; status reverts on any transaction Companies House dormancy guidance MVL Solvent; assets to extract; tax-efficient closure Costs of an IP; declaration of solvency under oath Perso
MEDIUM,26279_cease-trading.html,preference (unlawful),2146,3,no,no,no,no,"eased, every payment you authorised in the wind-down can be tested later by a liquidator. Preferences and undervalues become reviewable transactions under sections 238 to 239. What to Do Next After St"
MEDIUM,26279_cease-trading.html,wrongful trading,1876,4,no,no,no,no,rector Risk After a Company Ceases Trading The dominant risk is that the clock on wrongful trading exposure under section 214 of the Insolvency Act 1986 does not stop simply because you stopped invoic
MEDIUM,26888_stop-or-avoid-insolvency.html,CVA,948,12,yes,no,no,no,"on, and the point at which continuing to fight is itself a breach of duty. In the CVL and CVA files we handle, the companies that recover share one trait: they called a specialist inside 48 hours of t"
MEDIUM,26888_stop-or-avoid-insolvency.html,CVL,940,2,yes,no,no,no,"situation, and the point at which continuing to fight is itself a breach of duty. In the CVL and CVA files we handle, the companies that recover share one trait: they called a specialist inside 48 hou"
MEDIUM,26888_stop-or-avoid-insolvency.html,advertised / advertisement (notice sense),6790,5,no,no,no,no,"tutory demand and, after 21 days, petition for your company's winding-up. The petition is advertised in the London Gazette seven business days after presentation, and from that moment section 127 of t"
MEDIUM,26888_stop-or-avoid-insolvency.html,disposition,6933,2,no,no,no,no,"after presentation, and from that moment section 127 of the Insolvency Act 1986 voids any disposition of company property. The window between presentation and advertisement is the one where you can st"
MEDIUM,26888_stop-or-avoid-insolvency.html,preferential debt / creditor,6180,2,no,no,no,no,"hat 25% plus one vote of the creditor body can kill the proposal, and HMRC as a secondary preferential creditor often votes against unless the offer is strong. The moratorium is newer, less tested, an"
MEDIUM,26888_stop-or-avoid-insolvency.html,presented (vs served),6849,3,no,no,no,no,"'s winding-up. The petition is advertised in the London Gazette seven business days after presentation, and from that moment section 127 of the Insolvency Act 1986 voids any disposition of company pro"
MEDIUM,26888_stop-or-avoid-insolvency.html,validation order,7795,3,no,no,no,no,"ppliers will pull credit. Your factoring facility will typically suspend. Applying for a validation order under section 127 is possible, but it is a rearguard action rather than a fix. When to Stop Fi"
MEDIUM,28526_personal-liability-spouses-business-debts.html,IVA,9902,2,no,no,no,no,"rotective window is narrower. The focus shifts to the Etridge defence, to bankruptcy-vs-IVA planning on your spouse's side, and to the home's position under section 336. Our note on joint and se"
MEDIUM,28526_personal-liability-spouses-business-debts.html,misfeasance,3489,2,no,no,no,no,"nt. Co-director of the business. If you are a director, the wrongful trading and misfeasance provisions in sections 212 and 214 of the Insolvency Act 1986 apply to you personally, even if your involve"
MEDIUM,28526_personal-liability-spouses-business-debts.html,wrongful trading,3468,2,no,no,no,no,"th, for the full amount. Co-director of the business. If you are a director, the wrongful trading and misfeasance provisions in sections 212 and 214 of the Insolvency Act 1986 apply to you personally,"
MEDIUM,28761_corporation-tax-penalties.html,statutory demand,2265,2,no,no,no,no,"ignore any of these, the escalation path leads to HMRC enforcement action , distraint, statutory demand , and eventually a winding-up petition . The penalties are not collected through a separate proc"
MEDIUM,29543_lpa-receivership.html,Schedule B1,4758,3,no,no,no,no,operations. They cannot disclaim onerous contracts in the way an administrator can under Schedule B1 IA 1986. They cannot pursue misfeasance claims against directors. Their remit is the charged proper
MEDIUM,31199_business-restructuring.html,moratorium,1373,10,yes,no,no,no,"trol. Tier 2, Formal rescue: Company Voluntary Arrangement (CVA), the standalone moratorium (Part A1 of the Insolvency Act), and restructuring plans under Part 26A of the Companies Act 2006. Statutory"
MEDIUM,31237_cant-pay-a-commercial-lease-or-rent.html,misfeasance,6006,2,no,no,no,no,"the premises while knowing the rent cannot be paid and insolvency is unavoidable. Misfeasance or preference findings in subsequent insolvency, particularly where other creditors (often connected parti"
MEDIUM,31237_cant-pay-a-commercial-lease-or-rent.html,moratorium,8906,2,no,no,no,no,"on individual leases. Administration Administration produces a statutory moratorium on landlord action, the single most useful tool when forfeiture or CRAR is imminent. The administrator pursue"
MEDIUM,31237_cant-pay-a-commercial-lease-or-rent.html,wrongful trading,5852,2,no,no,no,no,"en after assigning the lease, under the Landlord and Tenant (Covenants) Act 1995. Wrongful trading under section 214, continuing to operate from the premises while knowing the rent cannot be paid and "
MEDIUM,38597_losing-house-if-company-goes-bust.html,transaction at an undervalue,4884,3,no,no,no,no,ou cannot do: transferring your property to your spouse to protect it from creditors is a transaction at undervalue that a trustee in bankruptcy can reverse within 5 years (or longer if the intent was
MEDIUM,39500_what-is-a-high-court-writ.html,CVA,8781,3,no,no,no,no,"tatutory moratorium under Schedule B1 paragraph 43 that stops the HCEO from continuing. A CVA with moratorium, or the Part A1 standalone moratorium introduced in 2020, have similar effect. A creditors"
MEDIUM,39500_what-is-a-high-court-writ.html,Schedule B1,8717,3,no,no,no,no,"ation appointment, pre-pack or otherwise, creates an immediate statutory moratorium under Schedule B1 paragraph 43 that stops the HCEO from continuing. A CVA with moratorium, or the Part A1 standalone"
MEDIUM,39500_what-is-a-high-court-writ.html,advertised / advertisement (notice sense),10503,2,no,no,no,no,"le, the liquidator may recover proceeds. Winding-up petition . Once a petition is advertised, section 127 makes any disposition of company property void unless validated. HCEO continuing to enforce af"
MEDIUM,41082_can-personal-assets-of-directors-be-seized-from-a-ltd-company.html,wrongful trading,1286,7,yes,no,no,yes,"a personal guarantee, (2) your director's loan account is overdrawn, (3) a court makes a wrongful trading contribution order under section 214 , (4) HMRC issues a personal liability notice for unpaid "
MEDIUM,42739_what-happens-if-a-company-cannot-pay-its-debts.html,moratorium,8157,2,no,no,no,no,Arrangement (CVA) restructures debt by 75% creditor vote. Administration imposes a moratorium and gives an administrator the steering wheel. The Restructuring Plan under Part 26A of the Companies Act 
MEDIUM,42739_what-happens-if-a-company-cannot-pay-its-debts.html,preference (unlawful),10304,3,yes,yes,no,no,liability and possible criminal sanction for trading with intent to defraud creditors Preferences s.239 Insolvency Act 1986 Court can reverse payments to a creditor (often a connected party) made in t
MEDIUM,43580_directors-liability-for-bounce-back-loans.html,CVL,5617,3,no,no,no,no,"igations start with paperwork, not with dawn raids. The common entry points: A CVL appointment. Every licensed Insolvency Practitioner has a statutory duty under section 7A of the Company D"
MEDIUM,43580_directors-liability-for-bounce-back-loans.html,misfeasance,4144,4,no,no,no,no,"bly diligent director would have done, not what you actually believed at the time. Misfeasance under section 212 Specific breaches of director's duty that caused loss to the company: misapplying co"
MEDIUM,43580_directors-liability-for-bounce-back-loans.html,preference (unlawful),4340,2,no,no,no,no,"misapplying company property, making unlawful distributions, paying connected parties in preference to trade creditors when insolvency was near. Misfeasance claims are brought by the liquidator and ca"
MEDIUM,43917_cant-afford-to-repay-business-loan.html,advertised / advertisement (notice sense),2416,2,no,no,no,no,"tion of insolvency. Winding-up petition where the presumption is not rebutted. Advertisement in The Gazette freezes company bank accounts. For secured loans (typically over £100,000, or anythi"
MEDIUM,43917_cant-afford-to-repay-business-loan.html,misfeasance,3825,2,no,no,no,no,", uncapped, where the business was carried on with intent to defraud creditors . Misfeasance under section 212, including preference payments where a connected-party creditor (often the director's own"
MEDIUM,44055_cant-pay-staff-wages.html,Redundancy Payments Service,484,8,yes,no,no,no,"ompany director is legally required to do when your business cannot fund payroll, how the Redundancy Payments Service safety net interacts with formal insolvency, and where the director duty shift und"
MEDIUM,44055_cant-pay-staff-wages.html,preference (unlawful),2749,3,no,no,no,no,"osure. Selective payment of some employees while others go unpaid is a potential preference claim under section 239, particularly where the paid employees are connected persons (directors themselves, "
MEDIUM,46222_what-happens-to-directors-in-liquidation.html,preference (unlawful),4120,2,no,no,no,no,"dation was unavoidable. Whether any transactions were made at undervalue or amounted to preferences. Whether the directors maintained adequate accounting records. Whether statutory filings (accounts, "
MEDIUM,46222_what-happens-to-directors-in-liquidation.html,wrongful trading,1331,10,yes,no,no,yes,"y request, and attend for examination if required. After liquidation, you may face wrongful trading claims, misfeasance claims, personal guarantee enforcement, and director disqualification proceeding"
MEDIUM,46579_bounce-back-loan-fraud.html,officeholder / office-holder,5473,2,no,no,no,no,"ced anyway, but without the mitigation that voluntary disclosure brings. Where the officeholder finds issues, the options include claims for misfeasance or, in more serious cases, fraudulent trading u"
MEDIUM,46674_what-is-a-creditor.html,floating charge,2637,4,no,no,no,no,"the Finance Act 2020. Prescribed part , a top-slice of net property subject to a floating charge set aside for unsecured creditors. Capped at £800,000 for floating charges created on or after 6 April "
MEDIUM,46674_what-is-a-creditor.html,officeholder / office-holder,4313,10,no,no,no,no,"uments , invoices, contracts, statements, sufficient to evidence the claim. The officeholder may admit the proof in full, admit it in part, or reject it. A rejected creditor can challenge the decision"
MEDIUM,47451_chinese-takeaway.html,National Insurance Fund,4583,2,no,no,no,no,"re handed back, the staff were dealt with through the Redundancy Payments Service via the National Insurance Fund, and the company entered formal liquidation. The Chinese Takeaway Case Study: What the"
MEDIUM,47451_chinese-takeaway.html,Redundancy Payments Service,4547,2,no,no,no,no,"on the case. The trading premises were handed back, the staff were dealt with through the Redundancy Payments Service via the National Insurance Fund, and the company entered formal liquidation. The C"
MEDIUM,47550_what-is-the-insolvency-service.html,IP (insolvency practitioner),731,4,yes,no,no,no,"ct 1986. It acts in the public interest. That is a different objective from a licensed IP working for creditors, or a restructuring adviser working for you. What the Insolvency Service Actually Do"
MEDIUM,47550_what-is-the-insolvency-service.html,wrongful trading,1462,3,yes,no,no,no,"ct. Second, director conduct investigations. Where misconduct is identified, including wrongful trading under s.214 of the Insolvency Act 1986 or misuse of company funds, the Insolvency Service may ap"
MEDIUM,47772_insolvency-act-1986.html,Schedule B1,3706,2,no,no,no,no,"monitor"" (a licensed IP), directors remain in day-to-day control. Administration, Schedule B1 . Replaced the old sections 8–27 regime via the Enterprise Act 2002. Statutory purpose: rescue the company"
MEDIUM,47772_insolvency-act-1986.html,floating charge,2178,6,no,no,no,no,"se Act 2002 overhauled administration, abolished administrative receivership for most new floating charges, removed the Crown's preferential status (reinstated in part for HMRC in 2020), and introduce"
MEDIUM,47772_insolvency-act-1986.html,misfeasance,7017,2,no,no,no,no,"he provision that drives ""do I keep trading?"" decisions in practice. Section 212, misfeasance . Summary procedure against officers who have misapplied property or breached fiduciary duty. Not a separa"
MEDIUM,47772_insolvency-act-1986.html,preference (unlawful),8452,6,no,no,no,no,"a director's spouse at book value when market was higher, a classic. Section 239, preferences . Six-month lookback (two years for connected parties). Paying one unsecured creditor ahead of others wher"
MEDIUM,47772_insolvency-act-1986.html,transaction at an undervalue,581,4,yes,no,no,no,"ding liability, compulsory winding-up, the moratorium in administration, the avoidance of transactions at undervalue, the ranking of creditors in the distribution waterfall. Understanding which part o"
MEDIUM,47772_insolvency-act-1986.html,wrongful trading,479,5,yes,no,no,no,"rd insolvency, almost every consequence you are worried about has its source in this Act: wrongful trading liability, compulsory winding-up, the moratorium in administration, the avoidance of transact"
MEDIUM,48170_creditors-guides-to-insolvency-practitioners-fees.html,IP (insolvency practitioner),110,50,yes,no,no,no,"itor owed £42,000 by a company that went into liquidation in March. Six months later, the IP’s progress report lands in your inbox. Asset realisations of £58,000. Office-holder remuneration of £31,400"
MEDIUM,49618_creditors-meeting.html,CVL,4647,5,no,no,no,no,"s want a private-sector IP appointed. If your case is heading down that route rather than CVL, the meeting we describe here is not the one you need to prepare for first. Powers, Duties or Rights a"
MEDIUM,49618_creditors-meeting.html,IP (insolvency practitioner),1654,20,yes,no,no,no,"or Risk for Directors at a Creditors’ Meeting The right is narrow: you choose the IP you nominate, and you can present the Statement of Affairs in your own words. The risk is wider. Anyth"
MEDIUM,49727_restaurants.html,CVA,1691,5,yes,yes,no,no,"failures: TGI Fridays (49 restaurants), Leon (restructured from 71 sites to 43 through a CVA) and Pizza Hut's dine-in business all hit trouble in 2025 and 2026. Figures from the Insolvency Service; r"
MEDIUM,49767_cleaning-contractors.html,National Insurance Fund,9224,3,no,no,no,no,"undant, and their claims for arrears, holiday pay and redundancy fall to the government's National Insurance Fund rather than to you personally. Which of these applies is worth understanding early, be"
MEDIUM,49856_hotels.html,wrongful trading,8797,2,no,no,no,no,"taking creditors into account, and trading on regardless can create personal risk through wrongful trading. None of the routes below is a defeat, and we talk operators through each of them every week."
MEDIUM,50819_cant-pay-coronavirus-business-interruption-loan-cbils.html,CVA,2546,3,no,no,no,no,"uld cover the CBILS repayment, a TTP arrangement can reallocate cash flow. Consider a CVA if the CBILS debt is part of a wider creditor problem. A CVA can restructure all debts, including the CBILS"
MEDIUM,50819_cant-pay-coronavirus-business-interruption-loan-cbils.html,CVL,2754,2,no,no,no,no,"lity, into a single binding repayment plan. If the business is not viable, consider a CVL . Closing the company through voluntary liquidation is better than waiting for the lender to enforce. It dem"
MEDIUM,50819_cant-pay-coronavirus-business-interruption-loan-cbils.html,floating charge,3431,2,no,no,no,no,"Stage 3: Enforcement against the company. If the lender holds a debenture (fixed and floating charges), they can appoint a receiver, enforce the charges, and realise company assets. If they hold a qua"
MEDIUM,52771_what-is-the-companies-act-2006.html,misfeasance,6012,3,no,no,no,no,"context, and the Insolvency Act provides the enforcement mechanisms (sections 212 to 214, misfeasance and wrongful trading) that allow the liquidator to pursue you for breaches. We tell directors: und"
MEDIUM,52808_find-a-liquidator-near-me.html,CVL,1712,4,yes,no,no,no,"ency Practitioner The biggest risk is not bad faith, it is mismatch. A high-volume CVL practice that runs hundreds of routine closures a year will not give your specialist construction or hospital"
MEDIUM,52808_find-a-liquidator-near-me.html,moratorium,9795,2,no,no,no,no,ctors appoint a practitioner to run. Company administration step by step : when a moratorium and rescue route makes more sense than liquidation. Company Voluntary Arrangements : repaying credito
MEDIUM,53158_hold-action-on-my-account.html,served / service,10549,2,no,no,no,no,"tices Have Issued The letter works best before a default notice. Once a default has been served under a regulated credit agreement and the notice period has expired, the creditor has already exercised"
MEDIUM,53187_cease-trading-template.html,CVL,13361,4,no,no,no,no,"to formalise the next step. A licensed insolvency practitioner can tell you whether a CVL is the right route, or whether the company’s financial position supports a Company Voluntary Arrangement ."
MEDIUM,53187_cease-trading-template.html,preference (unlawful),2762,9,no,no,no,no,"an directly affect whether a liquidator later decides to pursue you for wrongful trading, preferences, or misfeasance. The letter is simple. The context around it is not. What to Have Ready Before You"
MEDIUM,65238_what-happens-after-company-liquidation.html,MVL,8248,3,no,no,no,no,"irectors who are starting again to take specific advice on naming restrictions and, if an MVL was used, to be aware of the Targeted Anti-Avoidance Rule (TAAR). If you liquidated a company via MVL and "
MEDIUM,65238_what-happens-after-company-liquidation.html,wrongful trading,3894,4,no,no,no,no,"ese are personal debts, not company debts, and they survive the company's dissolution. Wrongful trading orders. If the court made a contribution order against you during the liquidation under section "
MEDIUM,65483_company-administration.html,CVA,1440,5,yes,yes,no,no,"immediate liquidation, or creditor pressure is too intense for informal negotiation or a CVA. Who runs it: a licensed insolvency practitioner. Director executive authority is suspended on appointmen"
MEDIUM,65483_company-administration.html,National Insurance Fund,9429,3,no,no,no,no,"s. If the administrator decides to make redundancies, employees can claim from the National Insurance Fund in the same way as in a company liquidation . If the business is sold as a going concern, the"
MEDIUM,65614_closing-a-limited-company.html,IP (insolvency practitioner),1559,22,yes,yes,no,no,"ntary action available: Creditors' Voluntary Liquidation (CVL). Director keeps choice of IP and timing. Insolvent, creditor has petitioned: compulsory liquidation. Court appoints the Official Recei"
MEDIUM,65614_closing-a-limited-company.html,Official Receiver,1657,6,yes,yes,no,no,"iming. Insolvent, creditor has petitioned: compulsory liquidation. Court appoints the Official Receiver. Director loses control of the process. The Four Routes for Closing a Limited Company UK law"
MEDIUM,65614_closing-a-limited-company.html,the Gazette,4048,5,no,no,no,no,"se a company. You file a DS01 form with Companies House, the company name is published in the Gazette, and if nobody objects within two months the company is dissolved. No insolvency practitioner is n"
MEDIUM,66786_what-is-wrongful-trading.html,preference (unlawful),8576,4,yes,yes,no,no,"iary duty or misuse of company assets Civil. Restoration, repayment, or compensation. Preferences and undervalue transactions ss.238, 239 IA 1986 Preferring a creditor or transferring assets at underv"
MEDIUM,66786_what-is-wrongful-trading.html,preferential debt / creditor,6484,3,no,no,no,no,"mpany's pot. The pot then pays the liquidator's costs first, then secured creditors, then preferential creditors (including HMRC for the Crown debts), then unsecured creditors. You get back to your pe"
MEDIUM,66786_what-is-wrongful-trading.html,transaction at an undervalue,8592,2,yes,yes,no,no,"use of company assets Civil. Restoration, repayment, or compensation. Preferences and undervalue transactions ss.238, 239 IA 1986 Preferring a creditor or transferring assets at undervalue within the "
MEDIUM,67438_dealing-with-an-hmrc-winding-up-petition.html,Schedule B1,2889,5,no,no,no,no,"(rare, but possible), or file for administration to engage the statutory moratorium under Schedule B1 paragraph 22. Can You Stop an HMRC Winding Up Petition Once It Has Been Served? Legal Position"
MEDIUM,67438_dealing-with-an-hmrc-winding-up-petition.html,Time to Pay,1542,12,yes,no,no,yes,"isputed, and earlier recovery steps have failed. Those earlier steps usually include a Time to Pay rejection, a statutory demand, distraint, or a visit from field-force collectors. PAYE, VAT and Corpo"
MEDIUM,67438_dealing-with-an-hmrc-winding-up-petition.html,moratorium,2872,4,no,no,no,no,"er live petition (rare, but possible), or file for administration to engage the statutory moratorium under Schedule B1 paragraph 22. Can You Stop an HMRC Winding Up Petition Once It Has Been Served?"
MEDIUM,67505_can-a-director-be-made-bankrupt-if-a-business-fails.html,wrongful trading,560,6,yes,no,no,yes,"the company's debts. But personal guarantees, overdrawn director's loan accounts, wrongful trading contribution orders, and HMRC personal liability notices are your debts. If those personal debts exce"
MEDIUM,67535_pros-and-cons.html,CVA,838,108,yes,no,no,no,"inding arrangement, and we set out the trade-offs below from the cases we see weekly. CVA Advantages and Disadvantages at a Glance Quick Answer: CVA Advantages and Disadvantages The principal"
MEDIUM,67535_pros-and-cons.html,preference (unlawful),6797,3,no,no,no,no,"its role as a preferential creditor following the Finance Act 2020 reinstatement of Crown preference, can still pursue preferential debts outside the arrangement. If a significant portion of your debt"
MEDIUM,67535_pros-and-cons.html,preferential debt / creditor,6721,4,no,no,no,no,"arge over all assets, the bank can still enforce independently. HMRC, in its role as a preferential creditor following the Finance Act 2020 reinstatement of Crown preference, can still pursue preferen"
MEDIUM,67747_antecedent-transactions.html,debenture,9602,2,no,no,no,no,"director's loan, at the moment your company is on the slide. The section bites hardest on debentures granted to family lenders to dress up a long-standing soft loan as a secured one. If no fresh consi"
MEDIUM,67747_antecedent-transactions.html,floating charge,2962,8,no,no,no,no,"les below value, loan repayments to favoured creditors , harsh credit deals, and certain floating charges granted on the way down. The framing most directors arrive with is wrong. They picture insolve"
MEDIUM,67747_antecedent-transactions.html,preference (unlawful),1681,20,yes,no,no,yes,"n Antecedent Transactions The risk most directors miss, in our experience, is that preferences and transactions at undervalue do not require dishonesty. They require timing. If the transaction sits"
MEDIUM,67747_antecedent-transactions.html,preferential debt / creditor,6679,2,no,no,no,no,"bution under the statutory order, which interacts with the rules on preferential and non-preferential creditors . A director who has to repay a preference does not regain priority for the underlying d"
MEDIUM,67747_antecedent-transactions.html,transaction at an undervalue,1697,11,yes,no,no,yes,"nsactions The risk most directors miss, in our experience, is that preferences and transactions at undervalue do not require dishonesty. They require timing. If the transaction sits inside the relevan"
MEDIUM,67747_antecedent-transactions.html,wrongful trading,11347,2,no,no,no,no,"the Company Directors Disqualification Act 1986. Where preferences sit alongside wrongful trading indicators or unpaid Crown debt, the Insolvency Service is materially more likely to apply for a ban. "
